Compound,RF,NN
CMP386,7.59930159,7.536361402
CMP387,8.251442646,8.415523963
CMP388,8.987152318,5.777285672
CMP389,6.835156218,4.909808043
CMP390,8.770062532,10.51973939
CMP391,7.797688043,6.180977691
CMP392,9.266603834,10.20932682
CMP393,6.626204338,4.855410615
CMP394,9.084619326,8.723969532
CMP395,8.959091006,9.104776357
CMP396,8.509107048,7.485130574
CMP397,9.354554035,8.530534162
CMP398,7.334326119,10.19230661
CMP399,8.774623677,8.98592376
CMP400,8.061747624,8.261408464
CMP401,8.931836808,5.885876375
CMP402,7.718621085,8.50451646
CMP403,9.641291795,10.18771276
CMP404,9.15505365,8.534411981
CMP405,9.306709075,10.07205306
CMP406,7.807259794,9.01810385
CMP407,9.449902503,10.0751626
CMP408,9.182455285,9.535907533
CMP409,7.134354275,8.272174348
CMP410,9.72714499,9.337180575
CMP411,9.41253162,10.31408751
CMP412,8.528892045,7.739008113
CMP413,9.094697824,8.433281884
CMP414,7.220071374,7.576133961
CMP415,9.454104114,9.886868823
CMP416,9.621236259,9.274037832
CMP417,9.266621642,6.793702037
CMP418,6.574489311,8.056296497
CMP419,8.954081947,9.974751786
CMP420,9.083658463,8.544399366
CMP421,8.505297455,10.90803615
CMP422,9.708760993,10.27336717
CMP423,9.323775187,8.423735899
CMP424,8.670367772,6.592340571
CMP425,9.277552565,10.02677847
CMP426,8.037867126,8.910884628
CMP427,8.35215634,7.104195033
CMP428,8.326414992,8.577314744
CMP429,7.275713668,10.20296237
CMP430,7.448998172,7.506772891
CMP431,7.546576353,8.554436745
CMP432,8.140249088,6.713819378
CMP433,7.830067376,9.480064669
CMP434,8.050296551,5.684412701
CMP435,9.364594244,9.397393095
CMP436,8.020722974,9.318714096
CMP437,6.248006261,6.200960838
CMP438,7.559345228,5.694598725
CMP439,6.670870429,4.113969048
CMP440,7.338040921,6.126870335
CMP441,6.88919002,3.292431534
CMP442,8.175524497,9.642889528
CMP443,9.161939361,10.85762594
CMP444,7.446672615,5.384314989
CMP445,7.746242363,6.401291061
CMP446,6.159814217,5.386428878
CMP447,7.758905201,10.76975077
CMP448,7.364307199,6.511817503
CMP449,9.134250406,10.88154104
CMP450,9.372396394,8.438753282
CMP451,7.721139874,6.968916874
CMP452,8.807302658,6.034725222
CMP453,8.083499232,7.863610395
CMP454,9.409970129,8.098190179
CMP455,7.954718741,9.123625117
CMP456,9.497717068,10.34548794
CMP457,8.919272387,5.658707074
CMP458,7.858881619,6.975898973
CMP459,8.902276551,6.522405613
CMP460,7.147694154,9.135301661
CMP461,7.120464918,7.164271701
CMP462,8.244128631,9.577523781
CMP463,9.481352159,8.963846132
CMP464,7.077525216,8.386102167
CMP465,7.277287395,8.716830096
CMP466,9.846502871,10.00022042
CMP467,8.217155676,10.0406668
CMP468,8.100287309,10.47566776
CMP469,9.880654324,10.54247748
CMP470,9.462934692,6.729322102
CMP471,9.606822833,8.152959775
CMP472,7.664214145,8.487018875
CMP473,7.801129652,10.85580756
CMP474,8.862104054,7.865905562
CMP475,9.49467981,10.43225035
CMP476,8.399560262,10.48201544
CMP477,9.149193073,8.893573877
CMP478,7.672397047,10.26024191
CMP479,8.423475903,8.256598235
CMP480,8.971826026,11.24234366
CMP481,6.885972735,5.322142484
CMP482,9.492714265,8.434676027
CMP483,9.745414826,10.75535496
CMP484,9.527544825,8.714717794
CMP485,9.05551917,9.16417823
CMP486,8.821819854,9.323514176
CMP487,8.30557909,7.639586616
CMP488,8.368280936,8.694841638
CMP489,7.4937916,6.611532098
CMP490,7.710121428,9.065120108
CMP491,7.894066352,9.693471419
CMP492,8.591980859,10.80643562
CMP493,7.377735822,5.524233011
CMP494,7.118705273,7.19180297
CMP495,7.598507996,5.499694786
CMP496,7.721547581,5.250665655
CMP497,9.189619061,9.968689299
CMP498,6.3165557,6.038575871
CMP499,7.078255349,7.184327775
CMP500,9.231396639,7.482888997
CMP501,9.745166638,7.071894483
CMP502,7.707735672,9.312734151
CMP503,7.681512055,6.451447836
CMP504,6.975393121,5.396817485
CMP505,7.814108943,6.692374298
CMP506,8.840846645,7.698218003
CMP507,9.659111084,9.356231408
CMP508,6.209430115,2.795017491
CMP509,9.408214405,7.926116884
CMP510,6.524758957,8.837583628
CMP511,9.610520869,8.200485256
CMP512,7.509512222,4.861236614
CMP513,8.64397054,6.768044228
CMP514,8.612357038,10.72655092
CMP515,9.039554719,8.120816312
CMP516,8.665031335,10.48636663
CMP517,9.162884914,6.721778721
CMP518,8.381326181,7.833794417
CMP519,8.83831992,10.89261633
CMP520,8.277800996,10.54006542
CMP521,7.79831163,7.03176138
CMP522,9.231123845,10.12037734
CMP523,7.584977283,8.893143752
CMP524,7.767632593,6.00075623
CMP525,6.986871656,8.196554726
CMP526,7.643540036,6.443155747
CMP527,9.110407303,8.397516242
CMP528,7.185084544,6.242910819
CMP529,8.163801336,8.238311383
CMP530,8.047396789,9.361542987
CMP531,6.735014382,7.811569873
CMP532,8.214551245,8.69460529
CMP533,9.669309707,8.453324383
CMP534,7.151778743,7.479600527
CMP535,9.625825572,8.134511405
CMP536,8.832111168,7.808133261
CMP537,8.791563426,8.728195355
CMP538,9.675221047,8.835398197
CMP539,9.146274043,8.852626005
CMP540,9.189783589,9.612764977
CMP541,8.548377176,9.604052661
CMP542,6.166512132,1.732241525
CMP543,8.993874489,11.21933405
CMP544,8.499552204,9.832810032
CMP545,8.555083392,7.613516903
CMP546,8.222134995,5.611146683
CMP547,8.312323504,11.17610499
CMP548,8.930344174,8.93542891
CMP549,8.808779386,9.763168469
CMP550,9.578096211,10.2575005
CMP551,8.771844791,8.613826141
CMP552,6.443878106,8.281171696
CMP553,8.355114551,10.29620244
CMP554,8.15022515,7.422300693
CMP555,9.460048014,9.291721098
CMP556,9.773975911,7.304435413
CMP557,9.240569821,9.578424981
CMP558,8.023563674,8.845569648
